node1.weight[0],node1.bias[0],node2.weight[0],node2.bias[0],edge1->2.weight[0],edge1->2.bias[0]
0.4892554,1.9981807,0.1527943,2.066863,0.19657825,-0.18004495
0.4852893,1.9928637,0.15045485,2.0328822,0.19905457,-0.16717426
0.4885563,1.9959258,0.1324486,2.0993934,0.20955169,-0.19941783
0.49348146,1.9954208,0.15190181,2.0727968,0.1962819,-0.18095943
0.48697004,2.0006585,0.05192986,2.2520409,0.24607721,-0.27264485
0.4922544,2.00133,0.15120813,2.0717187,0.1955342,-0.1795097
0.49558112,1.99435,0.14564905,2.0774581,0.19798353,-0.18195117
0.490505,1.9984505,0.133459,2.0810244,0.20274441,-0.18516651
0.4848715,1.9945151,0.052172214,2.2298377,0.24602586,-0.26388797
0.4900023,2.003052,0.16872835,2.0462394,0.18931843,-0.16872478
0.48891,2.000712,0.06306356,2.2326355,0.24121547,-0.26288244
0.48934907,2.0006967,0.09053759,2.17921,0.22643134,-0.2353913
0.4890678,1.9886556,0.23075816,1.9052086,0.15412419,-0.09532331
0.48681718,2.0011811,0.16875365,2.008408,0.18594818,-0.1496053
0.49052104,1.9965018,0.093414575,2.1791096,0.22928587,-0.23883903
0.48387083,1.9942893,0.179122,1.9791498,0.18162134,-0.13634217
0.49095,2.0016036,0.101539984,2.1897185,0.22689392,-0.24322812
0.50164545,1.9987919,0.20074831,1.9574583,0.17006338,-0.11947964
0.48931214,1.997064,0.14113487,2.0997074,0.20455988,-0.19708493
0.48534212,2.0030575,0.19024616,1.9991903,0.17776054,-0.1450427
0.4804352,1.9986668,0.024125412,2.3073578,0.26433095,-0.30584103
0.49467072,1.994759,0.16900703,2.0155458,0.18664156,-0.15149978
0.49034297,2.0011628,0.13929169,2.0901082,0.20262006,-0.1907028
0.4853199,1.9916441,0.16317272,2.0241475,0.19383039,-0.16341299
0.49284205,1.9922069,0.15304989,2.0337481,0.19567896,-0.16440177
0.4827237,2.0031855,0.07259986,2.2354617,0.24365816,-0.27040917
0.49058056,1.9996119,0.0961107,2.1577804,0.22190107,-0.22370934
0.49489686,2.0043228,0.17998916,2.0089033,0.17408116,-0.13812205
0.48913285,1.9939063,0.10549867,2.1434402,0.22179309,-0.22104841
0.495548,1.9956174,0.18432748,1.9716227,0.18160899,-0.13295689
0.4957255,1.9882832,0.21546946,1.9170933,0.1613729,-0.10116801
0.49834555,1.9957362,0.1947667,2.0027223,0.17333871,-0.1416248
0.49236372,1.9989878,0.16019359,2.0547824,0.1910739,-0.1710812
0.49006957,1.9976602,0.07252562,2.1945357,0.2324677,-0.24193567
0.48848882,1.9965645,0.17336643,2.0170221,0.1853684,-0.15460385
0.48794195,1.9976733,0.11530313,2.1331866,0.21709192,-0.21543528
0.4833497,1.9983592,0.17749782,1.9946264,0.18526214,-0.14689964
0.4884954,2.0006278,0.1666868,2.0347872,0.18853347,-0.16311407
0.4923203,2.0003695,0.16885102,1.9941163,0.1847703,-0.14123625
0.49508378,1.9961555,0.11758876,2.1290164,0.21281287,-0.20879999
0.48997435,2.0013015,0.16051663,2.0392632,0.18998598,-0.16404276
0.4876383,1.995502,0.17395738,2.0219903,0.18502577,-0.15742514
0.4899339,1.995377,0.07098213,2.2056718,0.23872209,-0.25199848
0.48960915,2.0020082,0.17072123,2.028337,0.1850906,-0.15808423
0.48173207,2.0045285,0.017565638,2.3391562,0.2703852,-0.3221007
0.49382246,2.0004194,0.16097149,2.0075989,0.18561909,-0.14372234
0.49318022,2.0028782,0.21277063,1.9111593,0.16265547,-0.09757535
0.49995223,1.9951241,0.18252668,2.003281,0.1790521,-0.14213155
0.48643443,1.9994276,0.17159581,2.0133376,0.18588819,-0.1530449
0.49043173,1.9986438,0.15717389,2.048226,0.19216993,-0.16900775
0.4993256,2.002657,0.17465726,2.0604234,0.18562728,-0.17033443
0.48759997,1.9952279,0.12076318,2.0966089,0.21036306,-0.19523606
0.4923267,1.9939878,0.14987814,2.0376391,0.19633423,-0.16471776
0.4882744,2.0005023,0.15994248,2.0580971,0.19331507,-0.1755917
0.48763448,2.000475,0.14972797,2.0628633,0.19807523,-0.17834197
0.49372754,1.9877689,0.24050884,1.8901073,0.14880598,-0.08604788
0.49345163,1.997207,0.117821336,2.0985396,0.20920238,-0.193093
0.4878171,1.9991958,0.14245051,2.0407665,0.19735697,-0.16537462
0.49021074,2.0016825,0.22199014,1.8954902,0.1561636,-0.08931072
0.49193415,1.9965758,0.12665443,2.1254938,0.21306363,-0.21119963
0.4882303,1.997655,0.14171576,2.0934737,0.20442963,-0.19530101
0.48819423,2.005801,0.14916977,2.0972695,0.20240766,-0.1967234
0.48977223,2.0020103,0.11312252,2.1481524,0.21673131,-0.22024854
0.48606405,1.9987531,0.17538103,2.0466967,0.18980941,-0.17224541
0.49006298,1.9994999,0.095741645,2.1622863,0.22254601,-0.22626685
0.4812364,2.0043483,0.20943016,1.9517117,0.16846633,-0.121949
0.48989403,1.996169,0.14499146,2.0679598,0.19918282,-0.18029492
0.48784584,2.0024061,0.16162348,2.0293236,0.19034755,-0.16035582
0.4898346,1.9993509,0.1404061,2.052126,0.19812067,-0.17023829
0.48433357,2.0044363,0.16225848,2.0648007,0.19704786,-0.18227978
0.49147308,1.9958838,0.17819723,2.0367773,0.18417616,-0.16248092
0.48772135,2.002688,0.16011193,2.0329347,0.19152494,-0.1624736
0.4980747,1.9894614,0.19483767,1.9828556,0.17153248,-0.13203144
0.4882623,2.00071,0.15711577,2.0378284,0.1942589,-0.16517763
0.4925861,1.9947139,0.17700522,1.9946644,0.1828861,-0.14326914
0.492886,2.002836,0.14535132,2.0276842,0.19389781,-0.15598512
0.48889256,2.0026693,0.18869565,2.00448,0.1770176,-0.14593808
0.48289022,1.995631,0.07879338,2.195855,0.23743409,-0.25037616
0.49085802,2.0045958,0.15776306,2.0750237,0.19476861,-0.18243413
0.48534417,1.9974278,0.20416015,1.9447728,0.16731834,-0.11644909
0.4896469,2.0033004,0.16202416,2.0193532,0.1869732,-0.15250102
0.49151736,1.99728,0.12184642,2.095414,0.20854402,-0.19263147
0.4870851,1.996979,0.14983845,2.0476751,0.19723745,-0.17147174
0.49022067,2.0022051,0.15332049,2.0573478,0.19439596,-0.17351463
0.48757955,1.99199,0.21831162,1.9296333,0.15985389,-0.10686099
0.4957621,2.001745,0.23199245,1.9116108,0.14911698,-0.090899
0.49388325,2.0032089,0.1410329,2.1325161,0.2070915,-0.21222483
0.4841317,1.992919,0.19971052,1.9647927,0.17149869,-0.12876046
0.4883573,2.0009367,0.09841412,2.1794016,0.22689897,-0.2384539
0.4930778,1.9906594,0.17038,2.0261374,0.18791154,-0.15944573
0.48795858,2.0023298,0.18523619,2.0163293,0.18051961,-0.15301412
0.48627263,2.0007322,0.16685563,1.998716,0.18469317,-0.14298874
0.48879,1.9952751,0.10362938,2.1287482,0.21974015,-0.21154521
0.48980606,2.0013747,0.14375651,2.0858135,0.20102139,-0.18895447
0.48716912,2.000384,0.16699745,2.0073793,0.18971758,-0.15187587
0.48493457,1.9970601,0.11017257,2.1336355,0.22142476,-0.21831404
0.48609662,1.9989587,0.16643478,1.9997672,0.18356492,-0.14270197
0.4892175,1.999376,0.16069958,2.0753949,0.19526592,-0.18446606
0.49191368,1.9991161,0.13729066,2.0599475,0.200986,-0.17488039
0.48697418,1.9963208,0.20252806,1.9713726,0.17048696,-0.13070482
0.49099287,1.997711,0.11502503,2.149716,0.21870151,-0.22324443
0.4855134,2.004184,0.16476777,2.0139878,0.1902089,-0.15379493
0.48669878,1.9951448,0.097353265,2.1603737,0.22827259,-0.23197825
0.49154422,1.9984113,0.137221,2.1006389,0.20473665,-0.1961277
0.48801684,2.0072389,0.18239495,1.992821,0.17817582,-0.13759337
0.4894393,2.0001755,0.1761479,1.9760835,0.17762458,-0.12861982
0.48749465,1.9961126,0.058702663,2.2231143,0.24286139,-0.2596837
0.4879058,1.9954021,0.092852086,2.1495385,0.22463743,-0.22212976
0.48688388,2.0011206,0.2211574,1.909406,0.15784028,-0.09740992
0.4949359,1.9935707,0.1485695,2.0723379,0.19702765,-0.17951307
0.4844662,2.0059674,0.19532365,1.9570899,0.17044035,-0.12065674
0.49007216,2.00041,0.13063084,2.103447,0.20706214,-0.19776641
0.48194823,2.017726,0.20186067,1.988491,0.17319238,-0.13773355
0.4769784,1.9890475,0.23687609,1.8596785,0.15126066,-0.07694154
0.48528075,1.999318,0.18402079,1.9843252,0.1774909,-0.13704173
0.48730493,2.0015597,0.21213852,1.9447592,0.16323204,-0.11473991
0.4927073,1.9971378,0.13303855,2.1106791,0.20762351,-0.20158586
0.4841652,1.999059,0.17979488,1.9724737,0.17792156,-0.13033032
0.48041624,1.995332,0.288373,1.765521,0.12422515,-0.023110282
0.49600446,2.0005264,0.115727946,2.0871239,0.20645033,-0.18315914
0.49087209,2.000828,0.122427076,2.1477184,0.21556483,-0.22162957
0.48926273,2.004973,0.15617628,2.0899029,0.19836049,-0.19179827
0.49161735,1.9971716,0.18983188,2.007118,0.17805313,-0.14733961
0.48973954,2.0012374,0.20003706,1.9714985,0.16945522,-0.12813532
0.48673472,2.0008647,0.17704442,2.0162563,0.18356779,-0.15418684
0.49149442,2.0087383,0.23464611,1.8687218,0.14912844,-0.07296356
0.49196574,2.0002286,0.14267266,2.079236,0.1989775,-0.18338707
0.48349133,1.9944286,0.20884824,1.9572139,0.16786443,-0.12436306
0.48482502,2.00559,0.014978677,2.3069186,0.2615668,-0.29877648
0.49030083,1.9988805,0.15246162,2.0493815,0.19437756,-0.16990843
0.49144086,2.0020983,0.14473471,2.0952663,0.20160924,-0.19326392
0.48938543,2.0007513,0.0833893,2.1968412,0.23095387,-0.2446745
0.48918772,2.0030816,0.19365466,1.9797907,0.1726956,-0.132671
0.49178287,2.0030715,0.16383272,2.0689912,0.19282523,-0.1787207
0.49022877,2.0033114,0.16278948,2.0359964,0.18895683,-0.16216287
